Category,Sentence,Pattern,Highlights
To be (ser/estar),Desculpe falar que o pai da Bluey era mais divertido que você.,Subject + ser/estar + noun/adjective,"{""special"": [""era""]}"
Prepositions,Desculpe falar que o pai da Bluey era mais divertido que você.,noun + preposition + noun,"{""special"": [""da""]}"
Comparatives,Desculpe falar que o pai da Bluey era mais divertido que você.,adjective + mais/menos + que,"{""special"": [""mais""]}"
Present simple,Está tudo bem.,Subject + verb (present),"{""verbs"": [""Está""]}"
To be (ser/estar),Está tudo bem.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Present simple,Deve ser mesmo.,Subject + verb (present),"{""verbs"": [""Deve""]}"
Modal verbs,Deve ser mesmo.,pronouns + dever + verb,"{""special"": [""Deve""]}"
Present simple,Mas você também é. Sério?,Subject + verb (present),"{""verbs"": [""é""]}"
Questions,Mas você também é. Sério?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Connecting words,Mas você também é. Sério?,clause + and/but/because + clause,"{""special"": [""mas""]}"
Adverbs of frequency,Mas você também é. Sério?,Subject + adverb + verb,"{""special"": [""também""]}"
Present simple,"O meu problema é que toda vez que eu faço alguma coisa, você fala, não, mas os povos não fazem isso.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"O meu problema é que toda vez que eu faço alguma coisa, você fala, não, mas os povos não fazem isso.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,"O meu problema é que toda vez que eu faço alguma coisa, você fala, não, mas os povos não fazem isso.",não + verb,"{""special"": [""não"", ""fazem""]}"
Possessives,"O meu problema é que toda vez que eu faço alguma coisa, você fala, não, mas os povos não fazem isso.",possessive + noun,"{""special"": [""meu""]}"
Connecting words,"O meu problema é que toda vez que eu faço alguma coisa, você fala, não, mas os povos não fazem isso.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Eu falo?,Subject + verb (present),"{""verbs"": [""falo""]}"
Questions,Eu falo?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Fala.,Subject + verb (present),"{""verbs"": [""Fala""]}"
Present simple,"Bom, isso é engraçado, porque toda vez que eu falo alguma coisa, você diz, não, mas os povos não fazem isso.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Bom, isso é engraçado, porque toda vez que eu falo alguma coisa, você diz, não, mas os povos não fazem isso.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,"Bom, isso é engraçado, porque toda vez que eu falo alguma coisa, você diz, não, mas os povos não fazem isso.",não + verb,"{""special"": [""não"", ""fazem""]}"
Connecting words,"Bom, isso é engraçado, porque toda vez que eu falo alguma coisa, você diz, não, mas os povos não fazem isso.",clause + and/but/because + clause,"{""special"": [""porque"", ""mas""]}"
Personal information,"Bom, isso é engraçado, porque toda vez que eu falo alguma coisa, você diz, não, mas os povos não fazem isso.",I + verb + personal detail,"{""special"": [""é""]}"
Questions,"Bom, e se a gente fizer uma regra?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Bom, e se a gente fizer uma regra?",noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,"Bom, e se a gente fizer uma regra?",clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,"Bom, e se a gente fizer uma regra?",noun + verb + number + noun,"{""special"": [""uma""]}"
Present simple,"Ninguém pode falar, mas os polvos não fazem isso.",Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,"Ninguém pode falar, mas os polvos não fazem isso.",pronouns + poder + verb,"{""special"": [""pode""]}"
Negation,"Ninguém pode falar, mas os polvos não fazem isso.",não + verb,"{""special"": [""não"", ""fazem""]}"
Connecting words,"Ninguém pode falar, mas os polvos não fazem isso.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,E o que a gente vai falar?,Subject + verb (present),"{""verbs"": [""vai""]}"
Questions,E o que a gente vai falar?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,E o que a gente vai falar?,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,E o que a gente vai falar?,clause + and/but/because + clause,"{""special"": [""e""]}"
Prepositions,E se a gente falar Sim!,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,E se a gente falar Sim!,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Os polvos fazem isso!,Subject + verb (present),"{""verbs"": [""fazem""]}"
Present simple,"É, mas na língua do polvo vai ficar mais ou menos assim.",Subject + verb (present),"{""verbs"": [""É""]}"
Prepositions,"É, mas na língua do polvo vai ficar mais ou menos assim.",noun + preposition + noun,"{""special"": [""na"", ""do""]}"
Connecting words,"É, mas na língua do polvo vai ficar mais ou menos assim.",clause + and/but/because + clause,"{""special"": [""mas"", ""ou""]}"
Comparatives,"É, mas na língua do polvo vai ficar mais ou menos assim.",adjective + mais/menos + que,"{""special"": [""mais"", ""menos""]}"
Questions,mais alguma curiosidade sobre os polvos?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,mais alguma curiosidade sobre os polvos?,noun + preposition + noun,"{""special"": [""sobre""]}"
Present simple,"Bom, tem.",Subject + verb (present),"{""verbs"": [""tem""]}"
Present simple,"Olha, quando um polvo está assustado e quer escapar, ele solta uma nuvem de tinta.",Subject + verb (present),"{""verbs"": [""Olha""]}"
To be (ser/estar),"Olha, quando um polvo está assustado e quer escapar, ele solta uma nuvem de tinta.",Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Prepositions,"Olha, quando um polvo está assustado e quer escapar, ele solta uma nuvem de tinta.",noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,"Olha, quando um polvo está assustado e quer escapar, ele solta uma nuvem de tinta.",clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,"Olha, quando um polvo está assustado e quer escapar, ele solta uma nuvem de tinta.",noun + verb + number + noun,"{""special"": [""um"", ""uma""]}"
Present simple,O que é isso?,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),O que é isso?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,O que é isso?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Personal information,O que é isso?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,É um peixe elétrico.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um peixe elétrico.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É um peixe elétrico.,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,É um peixe elétrico.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Ele pode produzir sua própria eletricidade.,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Ele pode produzir sua própria eletricidade.,pronouns + poder + verb,"{""special"": [""pode""]}"
Possessives,Ele pode produzir sua própria eletricidade.,possessive + noun,"{""special"": [""sua""]}"
Present simple,O que mais tem ali?,Subject + verb (present),"{""verbs"": [""tem""]}"
Questions,O que mais tem ali?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Comparatives,O que mais tem ali?,adjective + mais/menos + que,"{""special"": [""mais""]}"
Gerund,"Bom, tá vendo isso?",be + verb-ing,"{""verbs"": [""vendo""]}"
Questions,"Bom, tá vendo isso?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,É um peixe voador.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um peixe voador.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É um peixe voador.,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,É um peixe voador.,I + verb + personal detail,"{""special"": [""é""]}"
Questions,Um peixe que consegue voar?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Numbers,Um peixe que consegue voar?,noun + verb + number + noun,"{""special"": [""um""]}"
Connecting words,"Pequenas distâncias, mas ele consegue.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Questions,Que,Question word + aux + subject + verb,"{""special"": [""que""]}"
Questions,Quer brincar de polvo com a gente?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Quer brincar de polvo com a gente?,noun + preposition + noun,"{""special"": [""de"", ""com"", ""a""]}"
Present simple,"Oh, quero sim.",Subject + verb (present),"{""verbs"": [""quero""]}"
Present simple,"Tá bom, dessa vez somos o peixe elétrico.",Subject + verb (present),"{""verbs"": [""somos""]}"
To be (ser/estar),"Tá bom, dessa vez somos o peixe elétrico.",Subject + ser/estar + noun/adjective,"{""special"": [""somos""]}"
Present simple,"Tá bom, eu vou ser o polvo de anéis azuis.",Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,"Tá bom, eu vou ser o polvo de anéis azuis.",noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Esse anão, esse daí é venenoso.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Esse anão, esse daí é venenoso.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Present simple,Você congela por 4 segundos se ele te tocar.,Subject + verb (present),"{""verbs"": [""congela""]}"
Prepositions,Você congela por 4 segundos se ele te tocar.,noun + preposition + noun,"{""special"": [""por""]}"
Numbers,Você congela por 4 segundos se ele te tocar.,noun + verb + number + noun,"{""special"": [""4""]}"
Present simple,Vamos lá.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,"Não se preocupe, eu sou um peixe elétrico!",Subject + verb (present),"{""verbs"": [""sou""]}"
To be (ser/estar),"Não se preocupe, eu sou um peixe elétrico!",Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Numbers,"Não se preocupe, eu sou um peixe elétrico!",noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Espera, você tem que dar o dinheiro do ingresso.",Subject + verb (present),"{""verbs"": [""Espera""]}"
Prepositions,"Espera, você tem que dar o dinheiro do ingresso.",noun + preposition + noun,"{""special"": [""do""]}"
Personal information,"Espera, você tem que dar o dinheiro do ingresso.",I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,Toma aqui.,Subject + verb (present),"{""verbs"": [""Toma""]}"
Possessives,O seu ingresso.,possessive + noun,"{""special"": [""seu""]}"
Present simple,"Olha, se você não gostar do passeio de observação de baleia, posso devolver o seu dinheiro.",Subject + verb (present),"{""verbs"": [""Olha""]}"
Modal verbs,"Olha, se você não gostar do passeio de observação de baleia, posso devolver o seu dinheiro.",pronouns + poder + verb,"{""special"": [""posso""]}"
Possessives,"Olha, se você não gostar do passeio de observação de baleia, posso devolver o seu dinheiro.",possessive + noun,"{""special"": [""seu""]}"
Prepositions,"Olha, se você não gostar do passeio de observação de baleia, posso devolver o seu dinheiro.",noun + preposition + noun,"{""special"": [""do"", ""de"", ""de""]}"
Present simple,Mas isso não vai acontecer.,Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,Mas isso não vai acontecer.,não + verb,"{""special"": [""não"", ""vai""]}"
Connecting words,Mas isso não vai acontecer.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Esse vai ser o melhor passeio de observação de baleia que você já fez.,Subject + verb (present),"{""verbs"": [""vai""]}"
Past simple,Esse vai ser o melhor passeio de observação de baleia que você já fez.,Pronouns + verb (past),"{""verbs"": [""fez""]}"
Prepositions,Esse vai ser o melhor passeio de observação de baleia que você já fez.,noun + preposition + noun,"{""special"": [""de"", ""de""]}"
Comparatives,Esse vai ser o melhor passeio de observação de baleia que você já fez.,adjective + mais/menos + que,"{""special"": [""melhor""]}"
Adverbs of frequency,Esse vai ser o melhor passeio de observação de baleia que você já fez.,Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,Eu não posso garantir isso.,Subject + verb (present),"{""verbs"": [""posso""]}"
Modal verbs,Eu não posso garantir isso.,pronouns + poder + verb,"{""special"": [""posso""]}"
Negation,Eu não posso garantir isso.,não + verb,"{""special"": [""não"", ""posso""]}"
Prepositions,Todos a bordo!,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Ô, Bluey, fala mais baixo.",Subject + verb (present),"{""verbs"": [""fala""]}"
Present simple,Lá vamos nós!,Subject + verb (present),"{""verbs"": [""vamos""]}"
Present simple,É um lindo dia para fazer um passeio de barco.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um lindo dia para fazer um passeio de barco.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É um lindo dia para fazer um passeio de barco.,noun + preposition + noun,"{""special"": [""para"", ""de""]}"
Numbers,É um lindo dia para fazer um passeio de barco.,noun + verb + number + noun,"{""special"": [""um"", ""um""]}"
Personal information,É um lindo dia para fazer um passeio de barco.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,O mar está bem calminho.,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),O mar está bem calminho.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Present simple,É Vai ser um passeio tranquilo.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É Vai ser um passeio tranquilo.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É Vai ser um passeio tranquilo.,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,É Vai ser um passeio tranquilo.,I + verb + personal detail,"{""special"": [""é""]}"
Connecting words,Ou não!,clause + and/but/because + clause,"{""special"": [""ou""]}"
Past simple,O mar ficou agitado!,Pronouns + verb (past),"{""verbs"": [""ficou""]}"
Present simple,Lá vem uma onda,Subject + verb (present),"{""verbs"": [""vem""]}"
Numbers,Lá vem uma onda,noun + verb + number + noun,"{""special"": [""uma""]}"
Past simple,o mar ficou agitado.,Pronouns + verb (past),"{""verbs"": [""ficou""]}"
Present simple,"O mar tá bem calmo e Olha, chegamos nas baleias.",Subject + verb (present),"{""verbs"": [""Olha""]}"
Prepositions,"O mar tá bem calmo e Olha, chegamos nas baleias.",noun + preposition + noun,"{""special"": [""nas""]}"
Connecting words,"O mar tá bem calmo e Olha, chegamos nas baleias.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,As baleias ainda estão muito longe.,Subject + verb (present),"{""verbs"": [""estão""]}"
To be (ser/estar),As baleias ainda estão muito longe.,Subject + ser/estar + noun/adjective,"{""special"": [""estão""]}"
Adverbs of frequency,As baleias ainda estão muito longe.,Subject + adverb + verb,"{""special"": [""ainda""]}"
Connecting words,"E outra coisa, o barco não decide se o mar tá agitado.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,É o piloto do barco que vê.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É o piloto do barco que vê.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É o piloto do barco que vê.,noun + preposition + noun,"{""special"": [""do""]}"
Personal information,É o piloto do barco que vê.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,É?,Subject + verb (present),"{""verbs"": [""É""]}"
Questions,É?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,"primeiro ponto, baleias não sabem falar.",Subject + verb (present),"{""verbs"": [""sabem""]}"
Modal verbs,"primeiro ponto, baleias não sabem falar.",pronouns + saber + verb,"{""special"": [""sabem""]}"
Negation,"primeiro ponto, baleias não sabem falar.",não + verb,"{""special"": [""não"", ""sabem""]}"
Present simple,"E segundo ponto, hoje o mar não vai ficar agitado.",Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,"E segundo ponto, hoje o mar não vai ficar agitado.",não + verb,"{""special"": [""não"", ""vai""]}"
Connecting words,"E segundo ponto, hoje o mar não vai ficar agitado.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,"Bom, eu vou encontrar o mar agitado.",Subject + verb (present),"{""verbs"": [""vou""]}"
Present simple,Vamos lá já.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,"Aqui estamos, mar agitado.",Subject + verb (present),"{""verbs"": [""estamos""]}"
Present simple,vou ficar velejando até achar um mar agitado.,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,vou ficar velejando até achar um mar agitado.,noun + preposition + noun,"{""special"": [""até""]}"
Numbers,vou ficar velejando até achar um mar agitado.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Segure o café da manhã.,Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,Segure o café da manhã.,noun + preposition + noun,"{""special"": [""da""]}"
Present simple,Lá vamos nós.,Subject + verb (present),"{""verbs"": [""vamos""]}"
Prepositions,"Parece que mesmo sem querer, a gente conseguiu chegar no mar agitado.",noun + preposition + noun,"{""special"": [""sem"", ""a"", ""no""]}"
Present simple,"Como assim, sem querer?",Subject + verb (present),"{""verbs"": [""Como""]}"
Questions,"Como assim, sem querer?",Question word + aux + subject + verb,"{""special"": [""como""]}"
Prepositions,"Como assim, sem querer?",noun + preposition + noun,"{""special"": [""sem""]}"
Present simple,"Por favor, não vai pro lugar do almoço antes da tempestade passar.",Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,"Por favor, não vai pro lugar do almoço antes da tempestade passar.",não + verb,"{""special"": [""não"", ""vai""]}"
Prepositions,"Por favor, não vai pro lugar do almoço antes da tempestade passar.",noun + preposition + noun,"{""special"": [""por"", ""do"", ""antes"", ""da""]}"
Prepositions,A tempestade acabou.,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"E olha, chegamos nas baleias.",Subject + verb (present),"{""verbs"": [""olha""]}"
Prepositions,"E olha, chegamos nas baleias.",noun + preposition + noun,"{""special"": [""nas""]}"
Connecting words,"E olha, chegamos nas baleias.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,E agora chegamos na Oda gigante!,Subject + verb (present),"{""verbs"": [""chegamos""]}"
Prepositions,E agora chegamos na Oda gigante!,noun + preposition + noun,"{""special"": [""na""]}"
Connecting words,E agora chegamos na Oda gigante!,clause + and/but/because + clause,"{""special"": [""e""]}"
Questions,"Você tá bem, cliente?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Não quer o dinheiro de volta?,Subject + verb (present),"{""verbs"": [""volta""]}"
Questions,Não quer o dinheiro de volta?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Não quer o dinheiro de volta?,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Não, isso é muito legal.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Não, isso é muito legal.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"Não, isso é muito legal.",I + verb + personal detail,"{""special"": [""é""]}"
Gerund,Mas a gente já tá chegando nas baleias?,be + verb-ing,"{""verbs"": [""chegando""]}"
Questions,Mas a gente já tá chegando nas baleias?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Mas a gente já tá chegando nas baleias?,noun + preposition + noun,"{""special"": [""a"", ""nas""]}"
Connecting words,Mas a gente já tá chegando nas baleias?,clause + and/but/because + clause,"{""special"": [""mas""]}"
Adverbs of frequency,Mas a gente já tá chegando nas baleias?,Subject + adverb + verb,"{""special"": [""já""]}"
Questions,Já?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,"Oh, tem alguém na porta.",Subject + verb (present),"{""verbs"": [""tem""]}"
Prepositions,"Oh, tem alguém na porta.",noun + preposition + noun,"{""special"": [""na""]}"
Personal information,"Oh, tem alguém na porta.",I + verb + personal detail,"{""special"": [""tem""]}"
Prepositions,"Relaxa, a mamãe atende.",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Ei, ovelhas não andam!",Subject + verb (present),"{""verbs"": [""andam""]}"
Negation,"Ei, ovelhas não andam!",não + verb,"{""special"": [""não"", ""andam""]}"
Present simple,"Oi, o que acha de economizar R¥ twocentos por ano na conta de energia?",Subject + verb (present),"{""verbs"": [""acha""]}"
Questions,"Oi, o que acha de economizar R¥ twocentos por ano na conta de energia?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,"Oi, o que acha de economizar R¥ twocentos por ano na conta de energia?",noun + preposition + noun,"{""special"": [""de"", ""por"", ""na"", ""de""]}"
Present simple,"Ah, tem mais alguém que possa falar comigo?",Subject + verb (present),"{""verbs"": [""tem""]}"
Questions,"Ah, tem mais alguém que possa falar comigo?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Comparatives,"Ah, tem mais alguém que possa falar comigo?",adjective + mais/menos + que,"{""special"": [""mais""]}"
Personal information,"Ah, tem mais alguém que possa falar comigo?",I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,Vou chamar minha mãe.,Subject + verb (present),"{""verbs"": [""Vou""]}"
Possessives,Vou chamar minha mãe.,possessive + noun,"{""special"": [""minha""]}"
Present simple,"Ah, eu volto a outra hora.",Subject + verb (present),"{""verbs"": [""volto""]}"
Prepositions,"Ah, eu volto a outra hora.",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Eu sei o que você está fazendo!,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Eu sei o que você está fazendo!,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Gerund,Eu sei o que você está fazendo!,be + verb-ing,"{""verbs"": [""fazendo""]}"
Present simple,Mas isso não vai dar certo.,Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,Mas isso não vai dar certo.,não + verb,"{""special"": [""não"", ""vai""]}"
Connecting words,Mas isso não vai dar certo.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,"Para onde você vai, ovelhinha?",Subject + verb (present),"{""verbs"": [""Para""]}"
Questions,"Para onde você vai, ovelhinha?",Question word + aux + subject + verb,"{""special"": [""onde""]}"
Prepositions,"Para onde você vai, ovelhinha?",noun + preposition + noun,"{""special"": [""para""]}"
Questions,Mãe?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Questions,Você tá aí dentro?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Connecting words,"Sim, Blue, e eu tô aqui.",clause + and/but/because + clause,"{""special"": [""e""]}"
Past simple,Desculpa se eu fiz alguma coisa que te deixou chateada.,Pronouns + verb (past),"{""verbs"": [""fiz""]}"
Present simple,"Você não fez nada que me deixou chateada, meu bem.",Subject + verb (present),"{""verbs"": [""nada""]}"
Past simple,"Você não fez nada que me deixou chateada, meu bem.",Pronouns + verb (past),"{""verbs"": [""fez""]}"
Negation,"Você não fez nada que me deixou chateada, meu bem.",não + verb,"{""special"": [""não"", ""fez""]}"
Possessives,"Você não fez nada que me deixou chateada, meu bem.",possessive + noun,"{""special"": [""meu""]}"
Questions,Então por que você não quer ver a gente?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,Então por que você não quer ver a gente?,noun + preposition + noun,"{""special"": [""por"", ""a""]}"
Connecting words,Então por que você não quer ver a gente?,clause + and/but/because + clause,"{""special"": [""então""]}"
Present simple,"Eu quero ver vocês, amor.",Subject + verb (present),"{""verbs"": [""quero""]}"
Modal verbs,"Eu quero ver vocês, amor.",pronouns + querer + verb,"{""special"": [""quero""]}"
Present simple,Mas pode ser bem trabalhoso cuidar de crianças.,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Mas pode ser bem trabalhoso cuidar de crianças.,pronouns + poder + verb,"{""special"": [""pode""]}"
Prepositions,Mas pode ser bem trabalhoso cuidar de crianças.,noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,Mas pode ser bem trabalhoso cuidar de crianças.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,"Às vezes, as mães só precisam de 20 minutos.",Subject + verb (present),"{""verbs"": [""precisam""]}"
Prepositions,"Às vezes, as mães só precisam de 20 minutos.",noun + preposition + noun,"{""special"": [""de""]}"
Numbers,"Às vezes, as mães só precisam de 20 minutos.",noun + verb + number + noun,"{""special"": [""20""]}"
Adverbs of frequency,"Às vezes, as mães só precisam de 20 minutos.",Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,"Algum dia vai entender, minha querida.",Subject + verb (present),"{""verbs"": [""vai""]}"
Possessives,"Algum dia vai entender, minha querida.",possessive + noun,"{""special"": [""minha""]}"
Present simple,Mas o que está acontecendo?,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Mas o que está acontecendo?,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Questions,Mas o que está acontecendo?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Connecting words,Mas o que está acontecendo?,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Mas não vai funcionar.,Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,Mas não vai funcionar.,não + verb,"{""special"": [""não"", ""vai""]}"
Connecting words,Mas não vai funcionar.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,O que está acontecendo,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),O que está acontecendo,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Present simple,"Vai, vai,",Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,Você é uma ovelhinha muito levada!,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Você é uma ovelhinha muito levada!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,Você é uma ovelhinha muito levada!,noun + verb + number + noun,"{""special"": [""uma""]}"
Personal information,Você é uma ovelhinha muito levada!,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Ele não consegue escutar o que ninguém fala!,Subject + verb (present),"{""verbs"": [""fala""]}"
Present simple,Eu vou chamar a Tilly!,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Eu vou chamar a Tilly!,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Isso não vai acontecer de novo.,Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,Isso não vai acontecer de novo.,não + verb,"{""special"": [""não"", ""vai""]}"
Prepositions,Isso não vai acontecer de novo.,noun + preposition + noun,"{""special"": [""de""]}"
To be (ser/estar),Era uma vez um pequeno vilarejo.,Subject + ser/estar + noun/adjective,"{""special"": [""era""]}"
Numbers,Era uma vez um pequeno vilarejo.,noun + verb + number + noun,"{""special"": [""uma"", ""um""]}"
Prepositions,"E no vilarejo, todo mundo andava descalço.",noun + preposition + noun,"{""special"": [""no""]}"
Connecting words,"E no vilarejo, todo mundo andava descalço.",clause + and/but/because + clause,"{""special"": [""e""]}"
Prepositions,"Unicórcio, não consigo ver a página.",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Se ficar na frente das palavras, a mamãe não vai conseguir ler a história.",Subject + verb (present),"{""verbs"": [""das""]}"
Negation,"Se ficar na frente das palavras, a mamãe não vai conseguir ler a história.",não + verb,"{""special"": [""não"", ""vai""]}"
Prepositions,"Se ficar na frente das palavras, a mamãe não vai conseguir ler a história.",noun + preposition + noun,"{""special"": [""na"", ""das"", ""a"", ""a""]}"
Directions,"Se ficar na frente das palavras, a mamãe não vai conseguir ler a história.",verb + direction,"{""special"": [""frente""]}"
Present simple,Que diferença faz?,Subject + verb (present),"{""verbs"": [""faz""]}"
Questions,Que diferença faz?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,As histórias são legais.,Subject + verb (present),"{""verbs"": [""são""]}"
To be (ser/estar),As histórias são legais.,Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
To be (ser/estar),A minha história era legal.,Subject + ser/estar + noun/adjective,"{""special"": [""era""]}"
Possessives,A minha história era legal.,possessive + noun,"{""special"": [""minha""]}"
Prepositions,A minha história era legal.,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,E tinha um unicórnio nela.,clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,E tinha um unicórnio nela.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Nesta aqui não tem nenhum unicórnio.,Subject + verb (present),"{""verbs"": [""tem""]}"
Negation,Nesta aqui não tem nenhum unicórnio.,não + verb,"{""special"": [""não"", ""tem""]}"
Present simple,E o final é muito chato.,Subject + verb (present),"{""verbs"": [""é""]}"
